"Symbol ","CA ","Today","Open","High","Low","LTP","Chng","% Chng ","Volume 

(lacs)","Turnover 

(crs.)","52w H","52w L","Past 
365 Days","365 d 
% chng ","Past 
30 Days","30 d 
% chng "
"NIFTY 50","","","11,646.15","11,646.90","11,490.75","11,583.90","1.30","0.01","8,120.29
812.03 ","23,611.00
236.11 ","12,103.05","10,333.85","","13.29","","-0.04"
"YESBANK","","","48.65","54.30","45.75","53.70","5.40","11.18","3,465.78
346.58 ","1,696.50
16.97","286.00","29.00","","-73.68","","-4.19"
"SBIN","","","265.80","284.15","263.55","282.35","19.85","7.56","1,055.18
105.52 ","2,916.63
29.17","373.80","244.35","","10.42","","-6.69"
"ICICIBANK","","","457.70","470.65","454.40","469.20","14.45","3.18","343.98
34.40 ","1,593.12
15.93","470.65","311.80","","45.71","","6.42"
"CIPLA","","","447.10","461.45","441.75","459.60","12.75","2.85","26.48
2.65 ","119.40
1.19","638.20","389.55","","-26.03","","2.08"
"SUNPHARMA","","","405.00","419.50","401.05","416.35","10.40","2.56","48.45
4.85 ","200.07
2.00","604.80","344.55","","-27.05","","1.64"
"BPCL","","","516.75","533.20","509.75","523.05","10.00","1.95","133.81
13.38 ","702.99
7.03","545.00","264.05","","85.78","","13.39"
"TCS","","","2,094.00","2,130.00","2,075.05","2,121.60","39.60","1.90","39.54
3.95 ","831.40
8.31","2,296.20","1,784.35","","14.77","","3.76"
"EICHERMOT","","","21,150.00","21,415.00","20,950.05","21,365.00","332.65","1.58","1.51
0.15 ","319.57
3.20","25,350.00","15,200.00","","-5.57","","15.90"
"WIPRO","","","252.05","253.50","248.75","253.00","3.40","1.36","32.65
3.27 ","82.24
0.82","301.60","222.01","","-18.07","","5.11"
"HCLTECH","","","1,121.00","1,137.25","1,098.10","1,134.05","15.00","1.34","22.94
2.29 ","257.63
2.58","1,187.60","920.00","","15.64","","8.27"
"MARUTI","","","7,396.50","7,509.00","7,353.85","7,460.30","68.90","0.93","13.54
1.35 ","1,007.39
10.07","7,949.75","5,446.05","","10.22","","6.44"
"NESTLEIND","","","14,779.00","14,900.00","14,461.35","14,785.00","119.00","0.81","1.31
0.13 ","192.89
1.93","15,125.85","9,424.50","","55.07","","10.08"
"GRASIM","","","699.95","716.80","689.10","711.00","5.40","0.77","29.15
2.91 ","205.60
2.06","959.80","633.60","","-12.11","","-5.16"
"COALINDIA","","","206.60","206.95","203.00","206.20","1.00","0.49","53.69
5.37 ","110.18
1.10","289.20","177.70","","-25.63","","4.06"
"HINDUNILVR","","","2,147.55","2,156.50","2,129.30","2,141.00","7.65","0.36","16.12
1.61 ","345.56
3.46","2,156.50","1,522.00","","35.00","","4.42"
"IOC","","","142.50","144.40","140.05","141.75","0.45","0.32","97.78
9.78 ","139.53
1.40","170.75","116.25","","3.05","","2.20"
"AXISBANK","","","708.00","711.00","695.00","709.85","2.15","0.30","82.26
8.23 ","578.00
5.78","827.75","534.55","","25.84","","0.77"
"ASIANPAINT","","","1,797.00","1,808.40","1,785.05","1,795.50","5.00","0.28","12.02
1.20 ","216.18
2.16","1,825.00","1,150.15","","51.28","","1.68"
"INFY","","","647.00","652.50","636.00","637.10","1.75","0.28","165.49
16.55 ","1,065.21
10.65","847.00","599.85","","-1.95","","-19.77"
"BHARTIARTL","","","369.90","378.40","362.60","372.25","-0.10","-0.03","277.55
27.75 ","1,026.60
10.27","397.00","255.87","","17.86","","6.77"
"HINDALCO","","","181.50","183.40","181.00","181.20","-0.15","-0.08","59.56
5.96 ","108.49
1.08","245.30","171.10","","-21.17","","-8.39"
"ZEEL","","","239.00","243.85","233.30","237.10","-0.60","-0.25","124.98
12.50 ","297.71
2.98","506.90","199.15","","-45.53","","-15.02"
"BRITANNIA","","","3,298.85","3,298.85","3,247.00","3,271.00","-12.80","-0.39","2.13
0.21 ","69.59
0.70","3,583.75","2,300.00","","-38.98","","6.19"
"ADANIPORTS","","","402.95","402.95","396.85","397.60","-1.55","-0.39","32.72
3.27 ","130.82
1.31","430.60","292.10","","26.56","","-3.93"
"TATASTEEL","","","356.30","368.95","356.05","358.20","-1.70","-0.47","149.97
15.00 ","545.95
5.46","610.60","320.35","","-34.88","","-3.40"
"ITC","","","256.90","257.20","247.00","247.70","-1.35","-0.54","325.91
32.59 ","819.51
8.20","310.00","234.05","","-13.92","","-3.24"
"POWERGRID","","","205.40","205.40","201.15","203.00","-1.10","-0.54","22.46
2.25 ","45.58
0.46","216.25","172.50","","6.62","","6.59"
"RELIANCE","","","1,441.10","1,441.45","1,411.25","1,428.25","-8.20","-0.57","61.90
6.19 ","882.70
8.83","1,441.45","1,016.40","","36.58","","11.70"
"LT","","","1,439.95","1,441.70","1,420.10","1,424.00","-8.25","-0.58","20.14
2.01 ","288.01
2.88","1,607.00","1,191.30","","16.83","","-3.87"
"UPL","","","601.45","601.95","589.90","594.00","-3.70","-0.62","21.75
2.17 ","129.31
1.29","709.05","390.00","","-4.62","","2.52"
"HDFCBANK","","","1,240.00","1,246.85","1,220.00","1,227.90","-8.20","-0.66","64.97
6.50 ","802.30
8.02","1,282.70","942.50","","-38.37","","-2.07"
"M&M","","","585.70","585.70","570.25","576.75","-4.30","-0.74","22.85
2.28 ","131.54
1.32","814.00","502.55","","-21.66","","3.22"
"TECHM","","","730.90","730.90","701.20","721.00","-5.35","-0.74","27.85
2.79 ","199.64
2.00","846.50","607.15","","8.03","","2.44"
"GAIL","","","123.80","124.80","122.35","122.80","-1.05","-0.85","80.27
8.03 ","99.18
0.99","191.00","119.50","","-64.09","","-11.81"
"ONGC","","","141.60","141.60","138.10","139.50","-1.20","-0.85","66.36
6.64 ","92.69
0.93","178.90","115.55","","-11.57","","4.49"
"INDUSINDBK","","","1,288.00","1,288.00","1,260.10","1,271.20","-11.80","-0.92","41.42
4.14 ","526.63
5.27","1,834.40","1,188.05","","-16.44","","-16.16"
"BAJAJ-AUTO","","","3,187.15","3,187.15","3,110.00","3,133.75","-34.10","-1.08","3.70
0.37 ","115.91
1.16","3,237.35","2,420.00","","26.61","","5.94"
"BAJFINANCE","","","4,037.80","4,063.85","3,900.00","3,979.00","-47.15","-1.17","17.58
1.76 ","701.82
7.02","4,219.85","2,160.00","","72.12","","0.44"
"DRREDDY","","","2,824.00","2,824.00","2,779.95","2,792.00","-33.30","-1.18","5.01
0.50 ","140.00
1.40","2,964.00","1,872.95","","14.69","","0.24"
"BAJAJFINSV","","","8,141.00","8,160.00","7,852.00","7,978.00","-113.00","-1.40","3.55
0.35 ","284.29
2.84","8,668.80","4,955.00","","47.98","","-3.19"
"HEROMOTOCO","","","2,705.00","2,708.00","2,630.00","2,657.25","-38.75","-1.44","7.99
0.80 ","212.55
2.13","3,380.00","2,225.60","","-1.64","","-3.58"
"NTPC","","","120.85","120.85","118.20","118.40","-1.80","-1.50","85.06
8.51 ","101.09
1.01","145.85","106.67","","-27.38","","2.82"
"KOTAKBANK","","","1,613.85","1,613.85","1,569.15","1,586.10","-27.10","-1.68","28.67
2.87 ","455.65
4.56","1,683.95","1,098.45","","34.75","","-1.98"
"HDFC","","","2,149.00","2,153.45","2,085.25","2,101.00","-43.95","-2.05","30.99
3.10 ","653.32
6.53","2,357.85","1,653.05","","20.65","","-1.36"
"VEDL","","","145.95","146.90","141.60","142.45","-3.25","-2.23","117.88
11.79 ","169.91
1.70","227.75","125.30","","-32.77","","-10.94"
"ULTRACEMCO","","","4,293.80","4,306.80","4,175.00","4,199.00","-112.55","-2.61","5.87
0.59 ","248.54
2.49","4,904.95","3,277.50","","24.10","","-2.76"
"JSWSTEEL","","","222.50","224.15","216.10","216.80","-6.05","-2.71","86.12
8.61 ","190.59
1.91","359.90","201.75","","-38.40","","-7.09"
"TITAN","","","1,378.90","1,389.95","1,331.15","1,334.35","-40.20","-2.92","39.34
3.93 ","533.25
5.33","1,389.95","772.25","","68.56","","3.23"
"TATAMOTORS","","","132.00","133.00","125.70","126.25","-7.25","-5.43","428.69
42.87 ","553.61
5.54","239.35","106.00","","-26.02","","-3.55"
"INFRATEL","","","238.00","238.00","212.95","217.20","-20.35","-8.57","215.37
21.54 ","474.13
4.74","335.00","212.95","","-17.49","","-15.70"
